metric,favor_dir,g1_mean,g1_median,g2_mean,g2_median,diff_g2_minus_g1_mean,p_two_sided,p_g2_smaller,p_g2_larger,p_favor_g2,cliffs_delta_g1_vs_g2,n1,n2
c1_tbr_geQ67_median_sustain_s,g2_larger,2.3790181153846217,1.9987410000002797,2.4174277916665914,1.9989494999997959,0.038409676281969674,1.0,0.5108484623320279,0.5108484623320279,0.5108484623320279,0.0,13,12
c1_tbr_leQ25_first_reach_s,g2_smaller,97.13353915384597,27.921506999999394,93.67782075000002,22.871305499999785,-3.4557184038459496,1.0,0.5216930721469171,0.5,0.5216930721469171,-0.0064102564102563875,13,12
d_tbr_min,g2_smaller,-0.06205739853309547,-0.016241079198591496,-0.042867945171008844,-0.03795507393803994,0.019189453362086627,0.9783030753359442,0.5325133225824058,0.4891515376679721,0.5325133225824058,-0.012820512820512775,13,12
c2_tbr_leQ25_median_gap_s,g2_smaller,6.647430458333633,4.493127000000257,7.643916055556275,4.989547999999786,0.9964855972226419,0.9716543717925432,0.5424469827897471,0.4858271858962716,0.5424469827897471,-0.01851851851851849,12,9
c1_tbr_leQ25_eps_per_min,g2_larger,5.116202925701937,5.427835847086996,5.264305976806409,4.868031243630625,0.14810305110447253,0.9349733548351885,0.46748667741759425,0.5540822736266692,0.5540822736266692,0.02564102564102555,13,12
c1_tbr_leQ25_n_episodes,g2_larger,50.30769230769231,53.0,51.25,47.5,0.9423076923076934,0.8488717260004095,0.42443586300020475,0.5967731105051989,0.5967731105051989,0.05128205128205132,13,12
c2_tbr_leQ33_median_gap_s,g2_smaller,7.664474500001076,3.994679999998567,6.991392722222547,4.986034999999163,-0.6730817777785294,0.8412192411771064,0.6053086224833714,0.4206096205885532,0.6053086224833714,-0.05982905982905984,13,9
c2_tbr_geQ67_max_sustain_s,g2_larger,34.14909246153884,12.855935999998678,61.66060636363636,16.975456000000747,27.51151390209752,0.8167351582026614,0.4083675791013307,0.6139705151246326,0.6139705151246326,0.06293706293706292,13,11
c1_tbr_leQ33_first_reach_s,g2_smaller,53.37587869230641,4.002647000000016,84.61767108333326,13.431353499999688,31.241792391026856,0.805903159721058,0.6180326442746145,0.402951579860529,0.6180326442746145,-0.0641025641025641,13,12
d_tbr_leQ25_mean_gap_s,g2_smaller,2.157529748998439,0.7999764488039585,4.7273480953160005,1.4895013584905517,2.5698183463175615,0.803566416196146,0.6254404334997024,0.401783208098073,0.6254404334997024,-0.07407407407407407,12,9
d_tbr_leQ33_mean_gap_s,g2_smaller,3.606670073453953,1.064715146825316,6.226467724193802,2.272452499281555,2.6197976507398493,0.7893827550332574,0.6307688232507087,0.3946913775166287,0.6307688232507087,-0.07692307692307687,13,9
c1_tbr_leQ33_eps_per_min,g2_larger,5.979321705981197,6.759191809580033,5.862425829701685,5.21874680342201,-0.11689587627951159,0.7648175395839272,0.3824087697919636,0.6381631950841185,0.6381631950841185,0.07692307692307687,13,12
c2_tbr_leQ50_mean_gap_s,g2_smaller,5.911409897685858,4.849458714285648,6.888095708447297,4.612456750000128,0.9766858107614391,0.7384623534985825,0.6556678376158533,0.36923117674929123,0.6556678376158533,-0.09401709401709402,13,9
c2_tbr_trend_r,g2_smaller,-0.28436333009274173,-0.3117048938846138,-0.20224291767726454,-0.2528032957299521,0.08212041241547718,0.7236736098317631,0.6583434206414099,0.36183680491588155,0.6583434206414099,-0.08974358974358976,13,12
c1_tbr_max,g2_smaller,30.81890030663567,11.047572142938067,24.885948837919983,14.552347465522187,-5.932951468715686,0.7236736098317631,0.6583434206414099,0.36183680491588155,0.6583434206414099,-0.08974358974358976,13,12
c1_tbr_leQ33_n_episodes,g2_larger,58.76923076923077,66.0,57.083333333333336,51.0,-1.6858974358974308,0.7234695352738265,0.36173476763691326,0.6584587408934164,0.6584587408934164,0.08974358974358965,13,12
